pravda,pred
815,779
806,807
854,807
825,844
826,827
850,828
880,844
882,871
844,877
856,850
864,856
823,861
854,831
854,850
847,852
853,849
855,852
843,854
844,845
872,845
886,865
890,879
873,886
849,874
854,855
865,855
881,862
857,876
842,860
830,847
835,834
814,836
806,819
815,811
839,815
821,834
829,824
798,829
822,805
804,821
809,807
802,811
832,804
796,827
772,802
760,782
777,767
785,778
763,786
784,769
799,783
802,796
803,801
828,803
773,823
805,784
811,803
799,808
790,802
773,793
792,779
792,791
796,792
798,796
795,798
764,796
775,772
763,777
756,767
794,761
770,788
754,773
774,761
755,772
780,759
792,777
809,788
843,804
872,833
860,860
851,857
881,851
854,872
894,855
885,884
890,880
878,886
911,877
933,900
931,922
921,925
880,919
872,887
881,875
896,878
871,891
871,873
852,872
851,855
833,853
800,837
804,810
838,807
830,832
838,830
839,837
831,838
861,833
858,855
867,856
830,864
865,837
869,860
856,865
800,858
836,814
863,834
881,855
870,874
872,870
852,871
842,855
830,846
807,834
821,814
861,821
887,852
883,877
913,880
947,905
907,934
932,909
829,927
831,848
875,839
863,866
896,863
854,888
885,860
852,881
837,856
853,844
914,851
934,899
896,923
859,900
823,869
867,834
884,862
897,877
897,892
934,894
912,924
901,912
891,903
873,893
874,877
880,875
887,879
869,885
858,872
888,862
895,883
870,891
876,874
892,877
906,888
905,901
912,903
855,909
884,866
874,882
871,875
877,873
917,876
905,907
927,903
900,921
937,903
887,929
848,894
864,860
833,865
810,841
865,820
882,857
908,875
902,901
899,900
893,899
909,894
874,905
930,880
1065,920
1063,1029
1002,1046
991,1007
1030,992
999,1018
992,998
983,991
1006,982
1047,999
1022,1033
1010,1019
996,1010
989,997
1015,989
954,1008
968,963
954,969
863,956
799,884
799,823
765,810
761,778
801,771
788,800
762,793
749,773
726,759
766,738
774,766
776,775
777,779
770,781
771,775
795,775
764,794
764,772
791,770
736,789
728,748
734,738
754,738
702,754
706,715
709,714
728,713
735,728
729,736
740,733
736,741
757,739
736,756
747,741
731,749
726,736
752,731
698,750
698,709
683,705
687,690
730,691
678,724
702,688
679,704
692,685
693,694
659,694
632,668
669,643
670,667
681,670
693,681
708,692
713,705
698,712
634,701
763,650
815,743
886,794
918,864
861,902
936,864
907,921
919,903
954,914
939,941
943,935
946,938
978,943
1003,970
954,994
938,959
899,943
520,904
1,589
1,22
1,35
1,1
1264,1
1264,1407
1264,1300
1264,1321
1264,1007
1264,1101
1264,1188
1264,1235
